A=5668 B=4816 C=8853 X=885784998 Y=2813551299 Z=21961415592 M=1379
A=9845 B=4063 C=8433 X=727589802 Y=5647453048 Z=49507680908 M=3525
A=3044 B=3676 C=9624 X=846462641 Y=2331647587 Z=30352613218 M=7697
A=8860 B=4969 C=6084 X=729371114 Y=5261198187 Z=22630084887 M=2235
A=2153 B=6443 C=9497 X=323395444 Y=5379746695 Z=33979330920 M=7715
A=9765 B=5265 C=6102 X=547107157 Y=3353341646 Z=71415526485 M=6845
A=4391 B=3194 C=6003 X=715804702 Y=1448231850 Z=89235575373 M=5306
A=9244 B=9382 C=7925 X=529225208 Y=2418693815 Z=28143679760 M=2677
A=2416 B=8065 C=5175 X=425563600 Y=2726622658 Z=21161696584 M=5997
A=5896 B=9223 C=7818 X=754764439 Y=4816599953 Z=60188219458 M=4154
A=5246 B=4303 C=9503 X=706289018 Y=7517324470 Z=30737453019 M=7810
A=3361 B=9059 C=8618 X=917549128 Y=5334063764 Z=37302374430 M=4451
A=4861 B=7652 C=6834 X=236320141 Y=1798883760 Z=41366178576 M=8811
A=6996 B=9031 C=7563 X=458365131 Y=2403978757 Z=97474612242 M=6189
A=9866 B=6010 C=7454 X=904522927 Y=2582752400 Z=77741296912 M=3830
A=5123 B=4427 C=5184 X=546607497 Y=3881757622 Z=44885870554 M=7088
A=2116 B=8469 C=7541 X=983532257 Y=8200288983 Z=75913780896 M=7789
A=4026 B=8681 C=5859 X=266318005 Y=9075243945 Z=88260377097 M=4693
A=7268 B=7042 C=6455 X=647851169 Y=4873814224 Z=72747999217 M=2575
A=6296 B=6203 C=6715 X=184059684 Y=8780165084 Z=15237121232 M=3740
A=5080 B=4930 C=8902 X=791988664 Y=6282847753 Z=62656937548 M=5216
A=5994 B=8946 C=5968 X=922853265 Y=9934383653 Z=99920821587 M=2716
A=8747 B=8451 C=7968 X=429401881 Y=7918868768 Z=71123389752 M=8251
A=8916 B=3627 C=8900 X=704391999 Y=6101432907 Z=11074500738 M=6983
A=3474 B=9722 C=7220 X=556077362 Y=6191539140 Z=13477899221 M=1812
A=6108 B=6329 C=7130 X=456805386 Y=7108088813 Z=56776656741 M=5083
A=5929 B=8593 C=6356 X=478071378 Y=9477295697 Z=94328324652 M=1319
A=3068 B=6061 C=5776 X=314423465 Y=3186105020 Z=82724153346 M=4998
A=5685 B=9916 C=8059 X=226021823 Y=4308192300 Z=73693235874 M=9535
A=2779 B=4901 C=7244 X=771832110 Y=9731373652 Z=88948546082 M=8336
A=2732 B=4159 C=6992 X=104330941 Y=5037919696 Z=20943813554 M=4901
A=2102 B=9398 C=5864 X=733110570 Y=8457173756 Z=76996767829 M=1950
A=2404 B=9333 C=9422 X=610781131 Y=5576379708 Z=45399937085 M=7264
A=8373 B=7017 C=6714 X=732110500 Y=9820102558 Z=80575821153 M=6539
A=7991 B=3830 C=8850 X=241909431 Y=3374042088 Z=19078165030 M=1832
A=8276 B=5645 C=9140 X=279222031 Y=8714606943 Z=97783475482 M=5907
A=9747 B=4133 C=8956 X=383623817 Y=5537377608 Z=27214819098 M=2306
A=8041 B=3236 C=8285 X=733703155 Y=6444308596 Z=71172157334 M=3851
A=6853 B=6185 C=7699 X=624970210 Y=6125700561 Z=40808084651 M=7712
A=3230 B=9068 C=9092 X=778452001 Y=5428296917 Z=63373268843 M=9340
A=5518 B=6470 C=7017 X=825156111 Y=5553083637 Z=23583615926 M=9477
A=4543 B=3512 C=7018 X=922132467 Y=2917623064 Z=70348971201 M=4562
A=5002 B=8840 C=5638 X=884628119 Y=1256119589 Z=24099468562 M=3193
A=5797 B=9663 C=5120 X=735705938 Y=3024811145 Z=51720347068 M=6760
A=6945 B=9872 C=6478 X=315320460 Y=3053789853 Z=29079265368 M=1411
A=7926 B=8199 C=7245 X=867831621 Y=7944077592 Z=83834675384 M=8642
A=9650 B=9013 C=5491 X=403489114 Y=3282657345 Z=46369974866 M=2914
A=8547 B=9404 C=8017 X=740076864 Y=2237634728 Z=71730972136 M=6094
A=6307 B=6489 C=7474 X=134796003 Y=9467231677 Z=79511951134 M=5903
A=3026 B=6034 C=9090 X=655796425 Y=5837361490 Z=77141043235 M=9597
A=8979 B=8394 C=9638 X=820731670 Y=4660074692 Z=29111420370 M=2433
A=8928 B=9552 C=8565 X=129718581 Y=8382237761 Z=97490149439 M=6044
A=7325 B=6406 C=6828 X=431894993 Y=3009529123 Z=12392516219 M=7277
A=7902 B=9898 C=9876 X=808505991 Y=2464995681 Z=12348857367 M=1284
A=7553 B=5939 C=5746 X=772288574 Y=3431111519 Z=70831710979 M=1718
A=6124 B=7310 C=6899 X=982439286 Y=3695450161 Z=49701868410 M=8205
A=7192 B=9911 C=8542 X=453624531 Y=6862151378 Z=77346980403 M=4996
A=8306 B=7885 C=8907 X=670533541 Y=9133553942 Z=47388926272 M=8307
A=5523 B=4258 C=8552 X=150386951 Y=7956440782 Z=97886968784 M=6093
A=6515 B=9345 C=6157 X=541992915 Y=4440811630 Z=59202205806 M=4336
A=4907 B=9194 C=6734 X=279992815 Y=4817271407 Z=49060404654 M=8668
A=8893 B=9614 C=8698 X=956406652 Y=8648886664 Z=64981427144 M=5128
A=2703 B=6650 C=9021 X=872082164 Y=9015990550 Z=14169414668 M=2761
A=6958 B=5487 C=8317 X=764543649 Y=9266378565 Z=26482205119 M=7334
A=8468 B=8958 C=6539 X=783496942 Y=6865179587 Z=82446212968 M=3306
A=4955 B=5009 C=5268 X=885356261 Y=3609750401 Z=77774932392 M=9442
A=8951 B=7494 C=6889 X=302086175 Y=3643288692 Z=80841524758 M=5280
A=6758 B=8308 C=7788 X=488593496 Y=9402396945 Z=97764564532 M=1716
A=9948 B=5856 C=8173 X=951090284 Y=4797836646 Z=40726051171 M=8160
A=2910 B=4131 C=8491 X=673323901 Y=7780317045 Z=95842989547 M=1707
A=7741 B=4507 C=7564 X=600860123 Y=5225232047 Z=77007113139 M=6574
A=7816 B=8997 C=6465 X=198432295 Y=6374039982 Z=75262221081 M=9816
A=9717 B=7452 C=5951 X=350065509 Y=8384062232 Z=83646895102 M=8173
A=2329 B=6576 C=8088 X=872080999 Y=8829905339 Z=49899848123 M=4620
A=5102 B=9250 C=7575 X=859635699 Y=4954575812 Z=76957382053 M=3035
A=5102 B=3644 C=7694 X=357837873 Y=8095869940 Z=34423689880 M=7802
A=9791 B=3758 C=9574 X=841026236 Y=4689188324 Z=59863667697 M=6950
A=9779 B=9658 C=8086 X=314240599 Y=2441698628 Z=51376284935 M=5917
A=5213 B=8654 C=5265 X=319152923 Y=8665262611 Z=61611369266 M=3095
A=4650 B=9330 C=6125 X=184484048 Y=7514523359 Z=45146315039 M=8511
A=7998 B=8922 C=5332 X=501733605 Y=7662836241 Z=14324993739 M=9569
A=6371 B=4867 C=9833 X=105330824 Y=8082236579 Z=27555800550 M=8294
A=5806 B=5410 C=8743 X=904795278 Y=2091710453 Z=76169907557 M=8428
A=5401 B=9948 C=6412 X=187539517 Y=7301378084 Z=34219750749 M=2374
A=3746 B=3461 C=7182 X=383822987 Y=4062312860 Z=11675719650 M=2798
A=4999 B=8102 C=8862 X=839501226 Y=5791834712 Z=48645213222 M=3903
A=9595 B=9404 C=8370 X=430818623 Y=6282768784 Z=43709848449 M=7502
A=4312 B=3893 C=5468 X=100189346 Y=5904710941 Z=51366549068 M=1706
A=5795 B=9951 C=6123 X=880401410 Y=4535043528 Z=70054884170 M=2419
A=6128 B=4014 C=7905 X=213935940 Y=9675082134 Z=91083580988 M=7758
A=6653 B=5754 C=6756 X=694268802 Y=8237163926 Z=56479045096 M=9747
A=8947 B=6098 C=7120 X=341500825 Y=7469363299 Z=58785638877 M=3379
A=9914 B=4702 C=7493 X=423114644 Y=5136691870 Z=20275787889 M=3302
A=3909 B=8149 C=7882 X=809704812 Y=4763068298 Z=66034596835 M=2631
A=5678 B=8603 C=8261 X=204448819 Y=2296390190 Z=91747880866 M=5679
A=9831 B=8002 C=5415 X=970703310 Y=2000036263 Z=94158632865 M=5717
A=7556 B=8567 C=9527 X=902674333 Y=9772510434 Z=79250149693 M=5442
A=8508 B=7499 C=5328 X=497236214 Y=7288802814 Z=88354114139 M=3882
A=3732 B=9859 C=9874 X=839992240 Y=4566604409 Z=34056382630 M=7558
A=2450 B=9434 C=9122 X=560627907 Y=5509541330 Z=42948468310 M=2443
A=2304 B=6825 C=8849 X=522972117 Y=8528093296 Z=30707637926 M=8792
A=4345 B=8394 C=9820 X=838595146 Y=8403908240 Z=78834704949 M=3691
A=5700 B=3744 C=8496 X=873913236 Y=6986071807 Z=88933771070 M=9489
A=9638 B=6864 C=7727 X=830260643 Y=5612981283 Z=87072439180 M=9948
